23	57	51
23	63	55
235	61	72
235	62	68
236	62	153
146	110	43
23	58	39
12	238	36
13	239	48
237	62	97
23	59	49
145	112	80
171	105	46
13	241	58
238	63	52
23	54	37
23	56	60
23	60	39
153	253	70
13	242	87
240	62	49
146	111	79
173	102	18
23	61	48
240	61	35
145	113	19
151	251	29
13	243	44
240	63	10
241	61	101
23	46	37
23	64	44
170	105	32
171	104	28
172	103	25
242	61	157
93	236	77
23	47	36
152	251	61
23	48	52
23	62	51
152	252	91
241	62	112
64	185	99
62	38	37
63	38	20
23	49	52
65	184	97
173	103	49
23	50	55
12	239	31
13	240	60
23	51	57
65	185	57
23	52	45
93	23	114
96	23	19
144	113	29
231	51	36
232	51	67
233	52	44
153	254	57
231	50	58
236	61	139
237	61	72
23	53	44
239	62	35
23	55	32
232	52	7
242	60	48
172	104	47
64	184	60
247	195	2499
248	192	49
144	114	141
63	185	23
170	106	99
