7	69	62
8	70	43
9	70	92
10	70	62
139	65	30
12	77	33
17	84	24
10	76	28
19	86	25
20	87	35
21	88	12
23	128	61
151	214	31
218	191	55
8	69	56
33	200	54
34	199	45
34	201	109
7	70	71
242	46	16
8	71	32
18	86	21
8	68	12
243	46	33
135	123	59
30	180	149
8	72	34
201	62	16
9	69	21
10	69	15
8	73	55
23	129	5
11	77	35
10	75	11
8	74	16
33	201	23
201	61	43
202	62	52
203	63	40
34	200	78
82	0	14
83	0	48
151	213	15
218	190	51
12	78	31
9	74	39
17	85	14
232	156	97
9	75	44
18	85	26
240	45	31
241	45	41
242	45	35
83	1	39
254	152	640
19	87	36
20	88	27
250	161	16
255	144	1029
253	165	1083
254	70	164
255	92	42
