30	255	39
29	255	29
172	57	43
143	32	33
144	32	68
145	32	52
146	32	41
147	32	40
174	58	31
157	37	23
175	57	28
157	38	33
158	42	41
159	44	22
176	57	28
81	250	28
172	56	48
173	57	20
174	57	24
157	39	37
176	56	20
177	56	17
173	58	24
158	43	46
158	37	23
55	73	21
157	41	19
65	25	41
80	248	13
81	248	21
82	252	84
158	41	15
80	250	54
29	254	21
175	58	26
81	251	47
80	249	47
227	128	35
228	128	41
81	252	17
81	249	80
232	156	2
108	31	41
109	31	66
110	31	26
243	62	340
249	154	49
250	161	447
157	40	34
253	165	80
255	88	566
